il minimo delle distanze tra i punti è: 1
il massimo delle distanze tra i punti è: 36.0139

***********************ecco il vettore riordinato e il vettore originale**********************
i punti del vettore riordinato sono: -23	 e i punti del vettore sono: 0
i punti del vettore riordinato sono: -10	 e i punti del vettore sono: -1
i punti del vettore riordinato sono: -5	 e i punti del vettore sono: 5
i punti del vettore riordinato sono: -5	 e i punti del vettore sono: -4
i punti del vettore riordinato sono: -5	 e i punti del vettore sono: 8.2
i punti del vettore riordinato sono: -4	 e i punti del vettore sono: 10
i punti del vettore riordinato sono: -4	 e i punti del vettore sono: 3
i punti del vettore riordinato sono: -3	 e i punti del vettore sono: -1
i punti del vettore riordinato sono: -1	 e i punti del vettore sono: 6.7
i punti del vettore riordinato sono: -1	 e i punti del vettore sono: -3
i punti del vettore riordinato sono: -1	 e i punti del vettore sono: 8
i punti del vettore riordinato sono: -1	 e i punti del vettore sono: 1
i punti del vettore riordinato sono: -1	 e i punti del vettore sono: 1
i punti del vettore riordinato sono: -1	 e i punti del vettore sono: 2
i punti del vettore riordinato sono: 0	 e i punti del vettore sono: 7
i punti del vettore riordinato sono: 0	 e i punti del vettore sono: -1
i punti del vettore riordinato sono: 0	 e i punti del vettore sono: 6
i punti del vettore riordinato sono: 0	 e i punti del vettore sono: -5
i punti del vettore riordinato sono: 1	 e i punti del vettore sono: 1.3
i punti del vettore riordinato sono: 1	 e i punti del vettore sono: 6
i punti del vettore riordinato sono: 1	 e i punti del vettore sono: 2
i punti del vettore riordinato sono: 1	 e i punti del vettore sono: 3
i punti del vettore riordinato sono: 1	 e i punti del vettore sono: 7
i punti del vettore riordinato sono: 1	 e i punti del vettore sono: 2
i punti del vettore riordinato sono: 1.3	 e i punti del vettore sono: 1.5
i punti del vettore riordinato sono: 1.5	 e i punti del vettore sono: 1
i punti del vettore riordinato sono: 2	 e i punti del vettore sono: 2
i punti del vettore riordinato sono: 2	 e i punti del vettore sono: -4
i punti del vettore riordinato sono: 2	 e i punti del vettore sono: 31
i punti del vettore riordinato sono: 2	 e i punti del vettore sono: -5
i punti del vettore riordinato sono: 2	 e i punti del vettore sono: -23
i punti del vettore riordinato sono: 2	 e i punti del vettore sono: -1
i punti del vettore riordinato sono: 2	 e i punti del vettore sono: 6
i punti del vettore riordinato sono: 3	 e i punti del vettore sono: 3
i punti del vettore riordinato sono: 3	 e i punti del vettore sono: 0
i punti del vettore riordinato sono: 3	 e i punti del vettore sono: 1
i punti del vettore riordinato sono: 3	 e i punti del vettore sono: 1
i punti del vettore riordinato sono: 3.1	 e i punti del vettore sono: 2
i punti del vettore riordinato sono: 4.5	 e i punti del vettore sono: 5
i punti del vettore riordinato sono: 5	 e i punti del vettore sono: -1
i punti del vettore riordinato sono: 5	 e i punti del vettore sono: 2
i punti del vettore riordinato sono: 6	 e i punti del vettore sono: -5
i punti del vettore riordinato sono: 6	 e i punti del vettore sono: 4.5
i punti del vettore riordinato sono: 6	 e i punti del vettore sono: -10
i punti del vettore riordinato sono: 6.7	 e i punti del vettore sono: -1
i punti del vettore riordinato sono: 7	 e i punti del vettore sono: 3
i punti del vettore riordinato sono: 7	 e i punti del vettore sono: 0
i punti del vettore riordinato sono: 8	 e i punti del vettore sono: 2
i punti del vettore riordinato sono: 8.2	 e i punti del vettore sono: 0
i punti del vettore riordinato sono: 10	 e i punti del vettore sono: 1
i punti del vettore riordinato sono: 31	 e i punti del vettore sono: 3.1

il minimo delle distanze tra i punti riordinati è: 1
il massimo delle distanze tra i punti riordinati è: 30.0167

