2.04	1.78	1.59
0.13	-0.78	0.57
0.9	1.74	2.39
1.49	-2.55	1.98
2.28	3.71	2.44
4.47	-0.82	2.21
3.82	5.19	1.83
-1.18	1.65	1.32
-0.13	-3.76	0.24
-1.19	2.37	2.03
-1.71	0.28	2.48
0.06	-0.99	2.9
1.16	1.6	1.25
-0.69	1.17	2.59
-0.17	1.79	0.27
-3.33	0.59	1.6
0.78	1.36	2.08
0.73	-0.61	0.2
3.38	2.1	1.34
-1.13	-4.19	0.2
-0.31	1.68	0.73
2.52	1.68	2.7
2.56	2.39	2.53
-1.59	0.66	0.92
-2.09	2.34	2.47
-1.62	3.29	1.15
2.89	-2.06	1.24
0.17	0.22	1.92
1.63	-2.23	1.38
-1.66	0.93	0.22
-1.48	0.86	2.79
0.01	2.78	0.87
0.16	-0.9	1.73
-1.25	-0.9	2.33
-1.52	4.22	2.64
3.22	0.51	2.39
0.63	-0.94	2.18
-3.56	1.46	1.25
-0.04	-1.49	1.91
-1.64	1.79	2.38
0.73	0.72	1.79
0.45	-1.59	1.37
-0.79	1.76	0.21
1.12	0.93	2.09
0.31	-0.61	0.44
0.16	0.	2.42
-1.06	1.81	0.83
-0.16	2.29	2.01
0.96	-2.58	2.91
4.37	2.31	0.29
1.5	-0.28	0.35
0.5	-2.9	1.51
1.81	-0.22	1.33
0.88	-2.03	1.12
-3.9	-0.34	2.71
-2.83	-0.23	0.6
-1.94	-2.36	1.23
-3.92	-0.4	1.83
0.64	-1.3	2.69
1.76	-5.02	1.04
-0.38	-1.07	0.19
3.84	0.14	1.32
0.9	0.13	2.75
2.81	0.11	1.71
-0.33	2.95	1.66
-0.1	1.03	1.05
3.37	1.84	0.54
0.99	-2.36	0.88
-1.9	1.39	0.39
4.03	-0.59	0.59
-0.04	-4.09	1.45
-0.6	-2.94	2.36
1.81	1.6	0.27
-3.21	-0.14	0.44
1.74	3.8	2.47
-2.14	0.15	2.49
1.11	0.36	1.34
-0.25	0.5	1.38
-1.23	0.72	2.54
-1.41	-1.	0.45
1.29	-1.07	0.44
-1.15	-0.53	2.54
1.66	-0.32	1.57
2.53	1.5	1.95
1.01	0.14	2.58
-0.54	1.2	2.66
1.22	2.86	0.33
-2.18	0.9	2.27
0.18	2.1	0.95
0.5	1.97	1.85
0.25	-0.85	3.
-0.99	-2.43	1.54
1.93	-2.99	2.23
1.92	-0.69	0.94
-0.5	-2.24	1.6
1.71	1.07	2.22
2.89	3.07	1.12
-0.46	2.06	2.39
0.56	-0.76	2.17
-2.05	1.59	1.15
-1.3	-1.17	0.53
-2.7	-5.78	1.59
0.03	1.71	2.49
-3.36	-0.78	2.44
2.08	0.21	0.35
2.74	2.03	2.36
1.81	3.33	2.27
0.83	-4.54	1.3
2.25	-0.36	2.77
-0.11	-1.52	0.63
0.52	0.25	1.92
5.46	-0.3	2.38
-1.78	1.48	2.41
0.99	-0.5	1.81
3.64	-0.92	0.86
0.58	-0.92	0.62
-1.49	1.05	2.81
-0.22	-1.29	2.38
-2.61	-3.23	1.42
0.87	-1.83	1.8
-0.58	1.29	2.79
-0.48	3.2	1.55
-2.23	2.9	1.83
