0  0
0.17  0.22
0.52  0.25
0.16  0
-0.25  0.5
0.73  0.72
0.9  0.13
1.01  0.14
-0.1  1.03
1.11  0.36
0.31  -0.61
0.73  -0.61
0.13  -0.78
0.99  -0.5
1.12  0.93
0.56  -0.76
0.25  -0.85
0.16  -0.9
0.78  1.36
-0.54  1.2
0.58  -0.92
0.63  -0.94
0.06  -0.99
-0.69  1.17
-0.58  1.29
1.5  -0.28
0.03  1.71
-0.38  -1.07
-0.31  1.68
1.66  -0.32
-1.23  0.72
-0.17  1.79
0.9  1.74
1.16  1.6
-1.15  -0.53
0.64  -1.3
1.81  -0.22
-0.22  -1.29
1.71  1.07
1.29  -1.07
0.5  1.97
-0.04  -1.49
-0.79  1.76
0.18  2.1
2.08  0.21
-1.48  0.86
-0.11  -1.52
0.45  -1.59
-1.59  0.66
-1.49  1.05
-1.25  -0.9
-0.46  2.06
1.92  -0.69
-1.71  0.28
-1.18  1.65
-1.06  1.81
-1.66  0.93
1.81  1.6
-0.16  2.29
2.25  -0.36
-1.41  -1
-1.3  -1.17
0.87  -1.83
2.04  1.78
-1.78  1.48
0.88  -2.03
-2.14  0.15
-1.64  1.79
-1.9  1.39
0.01  2.78
-2.18  0.9
-1.19  2.37
2.81  0.11
2.53  1.5
-0.5  -2.24
-2.05  1.59
2.52  1.68
-0.33  2.95
0.99  -2.36
1.22  2.86
1.63  -2.23
0.96  -2.58
3.22  0.51
-0.99  -2.43
-0.48  3.2
2.74  2.03
1.49  -2.55
-2.09  2.34
2.56  2.39
-2.83  -0.23
0.5  -2.9
-0.6  -2.94
1.81  3.33
-1.94  -2.36
3.37  1.84
-3.21  -0.14
2.89  -2.06
-1.62  3.29
3.84  0.14
3.64  -0.92
-3.33  0.59
-2.23  2.9
3.38  2.1
1.93  -2.99
-3.36  -0.78
1.74  3.8
2.89  3.07
4.03  -0.59
2.28  3.71
-3.56  1.46
-0.13  -3.76
-3.9  -0.34
-3.92  -0.4
-1.52  4.22
4.47  -0.82
-0.04  -4.09
-2.61  -3.23
4.37  2.31
-1.13  -4.19
