0	-0.424129
0.05	-0.407791
0.1	0.388214
0.15	-0.12623
0.2	0.310838
0.25	0.667405
0.3	0.0892504
0.35	-0.44506
0.4	-0.236535
0.45	-0.3593
0.5	0.104786
0.55	0.224707
0.6	-0.909261
0.65	-0.48077
0.7	0.233322
0.75	0.715672
0.8	-0.905145
0.85	0.504953
0.9	0.5128
0.95	0.21885
1	0.393179
1.05	-0.110666
1.1	-0.124411
1.15	0.639837
1.2	0.256105
1.25	0.350067
1.3	-0.380834
1.35	-0.339176
1.4	0.0953872
1.45	-0.603323
1.5	-0.165446
1.55	-0.229572
1.6	-0.378914
1.65	0.390106
1.7	-0.353188
1.75	-0.195995
1.8	0.306122
1.85	0.309314
1.9	0.429584
1.95	0.374831
2	0.107264
2.05	0.258276
2.1	0.265614
2.15	-0.566025
2.2	-0.285877
2.25	0.0639957
2.3	0.343782
2.35	-1.06722
2.4	-0.159405
2.45	0.118573
2.5	-0.21433
2.55	0.0302685
2.6	0.39727
2.65	0.417121
2.7	0.251292
2.75	-0.159422
2.8	0.190485
2.85	0.610697
2.9	-0.38295
2.95	-0.242982
3	-0.0290495
3.05	0.081584
3.1	-0.473413
3.15	0.481413
3.2	0.191472
3.25	-0.296826
3.3	0.0149992
3.35	0.121427
3.4	-0.0420027
3.45	0.0947225
3.5	0.000622091
3.55	-0.583864
3.6	-0.300017
3.65	-0.359705
3.7	-0.0492937
3.75	0.421246
3.8	-0.719025
3.85	-0.454232
3.9	0.924625
3.95	-0.0682605
4	0.0568303
4.05	-0.0259033
4.1	-0.271228
4.15	0.4133
4.2	0.152896
4.25	0.934134
4.3	-0.352689
4.35	0.562227
4.4	0.0923546
4.45	-0.514284
4.5	-0.125675
4.55	0.0878618
4.6	0.431435
4.65	0.781915
4.7	0.0175905
4.75	-0.283923
4.8	-0.144232
4.85	-1.19344
4.9	0.0553499
4.95	-0.00772198
