0	1.67587
0.05	1.85221
0.1	2.80821
0.15	2.45377
0.2	3.05084
0.25	3.5674
0.3	3.14925
0.35	2.77494
0.4	3.14347
0.45	3.1807
0.5	3.80479
0.55	4.08471
0.6	3.11074
0.65	3.69923
0.7	4.57332
0.75	5.21567
0.8	3.75486
0.85	5.32495
0.9	5.4928
0.95	5.35885
1	5.69318
1.05	5.34933
1.1	5.49559
1.15	6.41984
1.2	6.19611
1.25	6.45007
1.3	5.87917
1.35	6.08082
1.4	6.67539
1.45	6.13668
1.5	6.73455
1.55	6.83043
1.6	6.84109
1.65	7.77011
1.7	7.18681
1.75	7.50401
1.8	8.16612
1.85	8.32931
1.9	8.60958
1.95	8.71483
2	8.60726
2.05	8.91828
2.1	9.08561
2.15	8.41398
2.2	8.85412
2.25	9.364
2.3	9.80378
2.35	8.55278
2.4	9.6206
2.45	10.0586
2.5	9.88567
2.55	10.2903
2.6	10.8173
2.65	10.9971
2.7	10.9913
2.75	10.7406
2.8	11.2505
2.85	11.8307
2.9	10.9971
2.95	11.297
3	11.671
3.05	11.9416
3.1	11.5466
3.15	12.6614
3.2	12.5315
3.25	12.2032
3.3	12.675
3.35	12.9414
3.4	12.938
3.45	13.2347
3.5	13.3006
3.55	12.8761
3.6	13.32
3.65	13.4203
3.7	13.8907
3.75	14.5212
3.8	13.541
3.85	13.9658
3.9	15.5046
3.95	14.6717
4	14.9568
4.05	15.0341
4.1	14.9488
4.15	15.7933
4.2	15.6929
4.25	16.6341
4.3	15.5073
4.35	16.5822
4.4	16.2724
4.45	15.8257
4.5	16.3743
4.55	16.7479
4.6	17.2514
4.65	17.7619
4.7	17.1576
4.75	17.0161
4.8	17.3158
4.85	16.4266
4.9	17.8354
4.95	17.9323
